State,City,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ARKANSAS,Leachville,2020,1835.0,13.0,0.0,4.0,0.0,9.0,40.0,17.0,20.0,3.0,1.0
ARKANSAS,Lewisville,2020,1097.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,2.0,0.0
ARKANSAS,Lincoln,2020,2503.0,5.0,0.0,1.0,0.0,4.0,44.0,7.0,36.0,1.0,0.0
ARKANSAS,Little Flock,2020,2816.0,17.0,0.0,9.0,0.0,8.0,38.0,6.0,30.0,2.0,0.0
ARKANSAS,Little Rock,2020,197688.0,3657.0,49.0,196.0,376.0,3036.0,9602.0,1527.0,7062.0,1013.0,70.0
ARKANSAS,Lonoke,2020,4178.0,53.0,0.0,11.0,4.0,38.0,155.0,32.0,119.0,4.0,0.0
ARKANSAS,Lowell,2020,9825.0,25.0,0.0,2.0,0.0,23.0,146.0,64.0,73.0,9.0,0.0
ARKANSAS,Luxora,2020,1011.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,3.0,1.0,0.0
ARKANSAS,Magnolia,2020,11434.0,50.0,2.0,4.0,8.0,36.0,406.0,150.0,249.0,7.0,0.0
ARKANSAS,Malvern,2020,10966.0,100.0,3.0,10.0,7.0,80.0,412.0,188.0,199.0,25.0,2.0
ARKANSAS,Mansfield,2020,1090.0,8.0,0.0,0.0,0.0,8.0,15.0,4.0,10.0,1.0,0.0
ARKANSAS,Marianna,2020,3325.0,28.0,4.0,4.0,3.0,17.0,113.0,26.0,80.0,7.0,2.0
ARKANSAS,Marion,2020,12285.0,156.0,0.0,9.0,10.0,137.0,364.0,54.0,279.0,31.0,1.0
ARKANSAS,Marked Tree,2020,2405.0,22.0,1.0,2.0,0.0,19.0,45.0,12.0,29.0,4.0,0.0
ARKANSAS,Marmaduke,2020,1265.0,12.0,1.0,5.0,1.0,5.0,27.0,7.0,19.0,1.0,0.0
ARKANSAS,Marshall,2020,1330.0,2.0,0.0,0.0,1.0,1.0,8.0,2.0,6.0,0.0,1.0
ARKANSAS,Maumelle,2020,18307.0,26.0,1.0,4.0,4.0,17.0,289.0,55.0,205.0,29.0,1.0
ARKANSAS,Mayflower,2020,2418.0,10.0,0.0,0.0,3.0,7.0,46.0,10.0,33.0,3.0,0.0
ARKANSAS,McGehee,2020,3631.0,22.0,1.0,3.0,1.0,17.0,51.0,15.0,29.0,7.0,0.0
